,x,y,z,s1,cs1,cs2_bottom,s2,cs2
2430835,-11.537247,58.639088,-60.39157,751.26843,881.16235,4075.6104,13264.437,15862.37
2431762,-13.330414,45.72943,-30.249989,104.783585,126.284645,1056.4951,3825.3567,4191.56
2432209,32.862137,-1.4658923,-14.642032,1221.7827,1439.2749,8099.9956,33477.293,32640.637
2432525,-27.824732,-5.1121006,-21.104347,970.8357,1134.4344,7664.7603,29765.18,31857.69
2433416,37.51135,40.974243,-100.97642,1304.5339,1250.2744,6762.565,21832.05,26469.951
2433471,47.26664,-22.74085,-73.084816,39.393326,43.43519,650.48517,2387.4573,2654.96
2433664,-20.669146,-14.392026,-76.83666,90.46218,92.20456,893.3724,3401.5686,3376.2683
2433667,-11.861187,0.5239622,-73.07854,472.70508,483.31287,2182.523,9033.618,8795.037
2433919,36.004185,-37.574276,-119.07162,83.912865,73.19221,856.16425,3135.7522,3322.0107
2434167,-13.199171,8.280723,-122.26821,2007.6418,1549.2281,8550.742,35977.1,34393.605
2434353,-37.576492,-26.128601,-49.865826,454.99902,523.6815,1723.5399,6498.5234,6776.0366
2434787,-9.48607,-53.8716,-65.444756,1350.5449,1513.9697,8194.984,32773.68,33105.387
2435014,-15.375711,-13.357969,-24.714516,327.64215,377.19907,2487.8867,10886.237,9737.731
2435027,-2.800985,-34.609646,-21.939997,1361.8248,1601.2109,8487.691,39676.145,34050.066
2435225,-38.281868,-25.808592,-64.1495,490.02032,541.6911,2599.2795,8499.28,9763.408
2435271,7.3476086,0.19800813,-110.09466,2251.475,1880.2654,10912.848,43837.63,44082.133
2435282,-29.17388,41.502083,-46.20557,689.4973,823.34894,4905.4966,17716.668,19409.816
2435603,-43.708607,-27.914011,-30.488264,1224.8232,1492.6505,10340.373,36948.223,41013.48
2435711,9.879891,-23.260208,-102.930275,1342.1335,1198.9631,6004.1426,22617.1,24071.08
2435741,-8.408335,19.39817,-102.38319,1815.0743,1616.2184,5870.6934,23597.418,22516.316
2435865,50.710663,-21.543552,-18.062864,975.4699,1196.5641,8853.3545,33741.9,35071.664
2435881,-18.281473,-52.608765,-25.701231,1248.3162,1531.3754,9978.587,34306.527,39335.184
2435971,-2.6898475,-23.849472,-84.182556,419.9796,414.85425,1783.5837,6825.224,6897.0425
2436443,-24.344797,-54.05461,-19.65033,442.82205,556.38617,2315.272,7409.974,9007.335
2436553,-30.797823,-14.7596655,-54.54911,106.49733,118.86962,1137.627,4003.0012,4479.22
2436610,32.132797,-45.04226,-112.73181,1584.075,1445.2684,9370.46,34372.793,36808.547
2436663,22.565931,-8.991784,-67.555214,245.74397,260.21802,1673.4607,6227.595,6662.964
2436937,28.719738,-5.3813725,-130.09666,1743.8104,1309.4336,6772.5557,24767.326,26366.932
2437324,-36.956802,-24.367058,-55.33528,1052.0885,1192.1449,6956.292,26070.756,29270.197
2437586,6.45725,32.174843,-74.03454,1018.02527,1064.1815,4886.42,17802.604,20168.943
2438152,44.860455,-36.468113,-65.12467,354.8953,404.43335,2256.5876,8753.791,9207.871
2438242,-41.720085,41.76626,-81.3973,367.13895,402.46866,2126.4058,7359.4946,8627.612
2438243,-41.334404,7.069034,-105.59362,1691.8259,1564.7517,7978.247,30616.965,32218.31
2438437,-24.942541,47.541504,-90.733765,292.4792,302.20306,1765.7914,6346.381,7513.664
2438469,24.859829,-34.552326,-50.486557,704.2322,806.3225,2318.2236,10067.416,9096.591
2438511,-49.776535,-26.506123,-20.44467,1343.6376,1656.659,12596.369,46220.066,50818.492
2438734,-59.489887,-1.4386953,-41.749695,445.53568,540.1995,2443.853,8536.749,9323.881
2439358,27.288795,-44.63607,-64.04386,133.62378,150.6771,1167.6023,4550.624,4645.801
